0.02,0.314,0.048,0.266,3
0.25,0.3512,0.0583,0.276,4
0.44,0.413,0.08,0.27,3
0.60,0.39,0.063,0.27,3
0.73,0.437,0.072,0.27,3
0.18,0.36,0.09,0.27,3
0.15,0.49,0.145,0.31,3
0.10,0.37,0.13,0.3,3
1.40,0.482,0.116,0.27,3
0.38,0.497,0.045,0.31,3
0.51,0.458,0.038,0.31,3
0.61,0.436,0.034,0.31,3
1.05,0.28,0.08,0.308,3
0.32,0.427,0.056,0.31,3
0.727,0.296,0.077,0.31,3
0.02,0.428,0.0465,0.3,3
0.001,0.505,0.085,0.3121,3
0.31,0.384,0.083,0.307,3
0.36,0.409,0.098,0.307,3
0.4,0.461,0.086,0.307,3
0.44,0.426,0.062,0.307,3
0.48,0.458,0.063,0.307,3
0.52,0.483,0.075,0.307,3
0.56,0.472,0.063,0.307,3
0.59,0.452,0.061,0.307,3
0.64,0.379,0.054,0.307,3
0.978,0.379,0.176,0.31,3
1.23,0.385,0.099,0.31,3
1.526,0.342,0.070,0.31,3
1.944,0.364,0.106,0.31,3
0.6,0.49,0.12,0.31,2
0.86,0.46,0.09,0.31,2
0.57,0.501,0.051,0.307,3
0.03,0.404,0.0815,0.3121,3
0.72,0.454,0.139,0.31,3
